,index,year,month,day,publishedAt,headline,summary,source,API
91,62,2025,1,8,2025-01-08 13:53:00,"These Stocks Are Moving the Most Today: Nvidia, AMD, Palantir, IonQ, Moderna, Vir, Edison International, Constellation Energy, and More","These Stocks Are Moving the Most Today: Nvidia, AMD, Palantir, IonQ, Moderna, Vir, Edison International, Constellation Energy, and More",MarketWatch,finnhub_news
92,63,2025,1,8,2025-01-08 13:30:42,"Magnificent Seven Stocks: Nvidia, Tesla Slide; Meta Sells Off","Magnificent Seven Stocks: Nvidia, Tesla Slide; Meta Sells Off",DowJones,finnhub_news
93,64,2025,1,8,2025-01-08 13:22:42,FSD And AI May Not Add To Tesla’s (TSLA) Topline In 2025,"Elon Musk has claimed that Tesla’s future is now associated with its AI ventures, not necessarily car delivery numbers. Tesla has always been more than just a car company, so nothing surprising in Musk’s point of view. The company’s energy division reported a revenue growth of 100%, adding $10 billion to its topline. BYD is […]",Yahoo,finnhub_news
94,65,2025,1,8,2025-01-08 13:00:00,"Prediction: This Artificial Intelligence (AI) Company Will Join Nvidia, Alphabet, Tesla, Amazon, Apple, and Broadcom as the Next Trillion-Dollar Stock-Split Stock","Among these companies, Apple, Nvidia, Alphabet, Amazon, Tesla, and Broadcom completed stock splits in recent years.  Besides each of these companies playing a pioneering role in the artificial intelligence (AI) revolution, each had big run-ups in their respective share prices before splitting their stocks.",Yahoo,finnhub_news
95,66,2025,1,8,2025-01-08 12:05:00,"Down 18% From All-Time Highs, Is the Trump Joyride Over for Tesla?",Tesla stock is down 19% from all-time high prices seen just a few weeks ago.,Yahoo,finnhub_news
96,56,2025,1,8,2025-01-08 11:30:00,Musk Vaulted to the Top of a Popular Videogame. Everyone’s Asking Where He Found the Time.,"The head of six companies says he recently became one of the world’s top ‘Diablo IV’ players, a milestone gamers say would have required playing ‘all day, every day’",Yahoo,finnhub_news
97,50,2025,1,8,2025-01-08 11:08:00,"These Stocks Are Moving the Most Today: Nvidia, Palantir, Tesla, Rigetti Computing, Moderna, Cal-Maine, and More","Nvdia shares claw back some losses from the previous session, Palantir stock extends declines, and quantum-computing stocks fall sharply following comments from Nvidia’s CEO.",Yahoo,finnhub_news
98,67,2025,1,8,2025-01-08 11:00:00,Most big cryptocurrencies fall as Avalanche declines,Most big cryptocurrencies fall as Avalanche declines,MarketWatch,finnhub_news
99,68,2025,1,8,2025-01-08 11:00:00,Most of the ‘Sweet 16’ stocks have dominated. They might do it again in 2025.,Most of the ‘Sweet 16’ stocks have dominated. They might do it again in 2025.,MarketWatch,finnhub_news
100,69,2025,1,8,2025-01-08 10:57:47,"Dow Jones Falls On Surprise Jobs Data, Fed Minutes Next; Nvidia Rebounds From Key Level","Dow Jones Falls On Surprise Jobs Data, Fed Minutes Next; Nvidia Rebounds From Key Level",DowJones,finnhub_news
101,70,2025,1,8,2025-01-08 10:00:00,Latest Memo From Howard Marks: On Bubble Watch,,SeekingAlpha,finnhub_news
102,71,2025,1,8,2025-01-08 09:35:11,ARKK: Tesla Overweighting Now Paying Off,ARK Innovation ETF's strategic overweighting of Tesla and Coinbase has driven a significant performance rebound. Click here to find out why I rate ARKK a buy.,SeekingAlpha,finnhub_news
103,72,2025,1,8,2025-01-08 09:10:19,"Dow Jones Futures Fall; What To Do After Nvidia, Palantir Lead Stock Market Sell-Off","Dow Jones Futures Fall; What To Do After Nvidia, Palantir Lead Stock Market Sell-Off",DowJones,finnhub_news
104,73,2025,1,8,2025-01-08 09:00:47,"Investors Can't Quit Nvidia, Tesla And Huge Bitcoin Holder, Schwab Says","Investors Can't Quit Nvidia, Tesla And Huge Bitcoin Holder, Schwab Says",DowJones,finnhub_news
105,74,2025,1,8,2025-01-08 07:46:13,"Edmunds: The best used all-wheel-drive cars you can get for under $25,000","All-wheel drive might not be a must-have, but it sure is nice to have if you live in any of the large swaths of America that regularly see snow. Certainly a good set of winter tires will get the job...",Finnhub,finnhub_news
106,75,2025,1,8,2025-01-08 07:00:00,Tesla and Nvidia dominated the stock market last year. Why more pedestrian names can shine in 2025.,Tesla and Nvidia dominated the stock market last year. Why more pedestrian names can shine in 2025.,MarketWatch,finnhub_news
107,76,2025,1,8,2025-01-08 05:55:00,LRT Capital Management December 2024 Investor Update,LRT Global Opportunities is a systematic long/ short strategy that seeks to generate positive returns. Read more here.,SeekingAlpha,finnhub_news
108,77,2025,1,8,2025-01-08 05:20:00,HORAN Capital Advisors Winter 2024 Quarterly Investor Letter,"With Q4 2024 behind investors, some of the uncertainty that served as a potential headwind for the market is now in the rearview mirror. Click here to read more.",SeekingAlpha,finnhub_news
109,78,2025,1,8,2025-01-08 04:42:00,2024 Performance Review And Future Strategy,"My 2024 picks outperformed the S&P 500, mainly due to Tesla, but small biotech firms lagged significantly. Learn more about my 2024 performance here.",SeekingAlpha,finnhub_news
110,79,2025,1,8,2025-01-08 03:03:00,"Analysts mixed on Tesla after sales results, Full Self-Driving","Also, Rivian announced it solved a major setback.",Yahoo,finnhub_news
111,81,2025,1,8,2025-01-08 00:00:19,How Washington's tag on China's CATL could affect Tesla,"Washington's addition of CATL to a list of firms it says work with China's military could put Tesla founder Elon Musk in a tight spot, challenging how he balances his role in the Trump administration with his ties to China.  CATL, the world's largest battery maker, is a major supplier of lithium iron phosphate (LFP) batteries to Tesla for its Shanghai factory, the U.S. automaker's largest.  Tesla has been exporting these cars equipped with CATL batteries to other markets such as Europe and Canada.",Yahoo,finnhub_news
112,74,2025,1,8,2025-01-08 00:00:00,Porsche reprend la meilleure idée de Tesla pour ses batteries de voitures électriques,"Quelques semaines après sa montée au capital au sein de l'entreprise Varta, Porsche va désormais bénéficier de cellules cylindriques pour ses futures voitures électriques et hybrides. Voici ce que cela va changer concrètement.",Frandroid,api_news_org
113,8,2025,1,8,2025-01-08 00:00:00,Watch Tesla rival BYD's electric supercar 'jump' over a pothole at speed,"The Tesla rival launched its first supercar, the Yangwang U9, last year, and has shown off its ability to ""jump"" over potholes and road spikes.",Business Insider,api_news_org
114,21,2025,1,8,2025-01-08 00:00:00,Police Say Suspect in Tesla Explosion Outside Trump Hotel Used AI to Help Plan Attack,Sheriff of the Las Vegas Metropolitan Police Department called the use of generative AI a “game-changer” and “a concerning moment” and said the department was sharing information with other law enforcement agencies.,Time,api_news_org
115,51,2025,1,8,2025-01-08 00:00:00,Crashs à répétition : Tesla épinglée par les autorités américaines,"L’avenir de la conduite ? Apparemment, il inclut beaucoup de tôles froissées.",Presse-citron,api_news_org
116,84,2025,1,8,2025-01-08 00:00:00,Réparer soi-même une Tesla devient plus simple grâce à ce nouveau catalogue officiel,"S'il était assez compliqué d'acheter des pièces officielles Tesla par soi-même, sans passer par un revendeur agréé, ce sera bientôt plus facile via un immense catalogue de pièces détachées en ligne proposé par la marque. Ce même catalogue vient par ailleurs d…",Frandroid,api_news_org
117,88,2025,1,8,2025-01-08 00:00:00,"Tesla trébuche, mais reste numéro 1 mondial de la voiture électrique avec un écart infime sur BYD","Avec plus de 1,7 million de voitures électriques vendues en 2024, Tesla conserve sa place de leader mondial. Mais si la firme américaine dépasse toujours son rival chinois BYD, elle affiche pour la première fois de son histoire des ventes en baisse par rappor…",Frandroid,api_news_org
118,89,2025,1,8,2025-01-08 00:00:00,Skoda améliore sa voiture électrique rivale du Tesla Model Y et tutoie désormais les 600 km d’autonomie,"Cinq ans après son lancement, le Skoda Enyaq se refait une petite beauté. Face à une concurrence de plus en plus rude, y compris en interne, cette voiture électrique soigne son look et son aérodynamisme, de quoi venir titiller les 600 km d'autonomie. Voici ce…",Frandroid,api_news_org
119,82,2025,1,7,2025-01-07 23:49:38,Why Nvidia (NVDA) Is Poised to Lead the Robotics Industry,"Nvidia stock (NVDA) reached new heights in 2024, buoyed by demand for its artificial intelligence (AI)-enabling graphics processing units (GPUs). With a commanding share in the AI accelerator market, some analysts argue that any upside is already priced in. However, investors should consider Nvidia’s position in disruptive technologies, notably robotics. I’m still bullish on Nvidia due to its strong cash reserves, technological lead, and opportunities to dominate in new sectors. Nvidia’s Robot W",Yahoo,finnhub_news
120,83,2025,1,7,2025-01-07 23:10:28,How Uber fits into the AI landscape,"Wedbush Securities added Uber (UBER) to its 'best ideas' list, highlighting the company's role in the autonomous vehicles (AV) industry. Scott Devitt, Wedbush Securities managing director of equity research, appears on Market Domination to discuss Uber's new partnership with Nvidia (NVDA) and its role in the larger AV landscape. ""Uber supports the autonomous industry by providing distribution,"" Devitt shares. ""It's comforting to think that Uber may be well positioned when we get to fully autonomous, but that's probably the greatest risk to its business model as well."" Devitt also discusses the dynamics between Waymo, Tesla (TSLA), and Uber and how these relationships may play out in the future. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Josh Lynch",Yahoo,finnhub_news
121,84,2025,1,7,2025-01-07 23:02:21,"Why Tesla, Broadcom, and Rivian Fell Today as Treasury Yields Shot Higher","Treasury yields continued to surge on sticky inflation data, dragging the market down today.  Tech and artificial intelligence (AI) stocks bore the brunt of the sell-off, as the Nasdaq Composite fell nearly 2%, more than the other major market indexes.  Shares of electric vehicle makers Tesla (NASDAQ: TSLA) and Rivian Automotive (NASDAQ: RIVN) fell roughly 4% and 5%, respectively.",Yahoo,finnhub_news
122,85,2025,1,7,2025-01-07 23:00:29,"Tesla Slides as Regulators Investigate Crashes, Bank of America Downgrades Stock",Tesla shares dropped Tuesday as federal regulators said they’re looking into crashes related to the company's automated vehicle summoning features and analysts at Bank of America downgraded the stock.,Yahoo,finnhub_news
123,86,2025,1,7,2025-01-07 22:40:40,"Las Vegas Cybertruck suspect used ChatGPT to plan blast, police say","The suspected driver of the Tesla Cybertruck that exploded outside the Trump International Hotel in Las Vegas on New Year's Day used popular chatbot ChatGPT to plan the blast, officials told reporters...",Finnhub,finnhub_news
124,87,2025,1,7,2025-01-07 22:05:21,Here’s What Tesla (TSLA) Can Do To Revive Delivery Numbers,"Many market participants believe Tesla is overextended. They blame it on the elections and Elon Musk’s political activities. But few realize that from the middle of April to just before the elections, the stock had already run up 75%! The Tesla rally didn’t start after Trump’s victory, it had begun 6 months earlier. The stock […]",Yahoo,finnhub_news
125,88,2025,1,7,2025-01-07 21:59:00,"Tesla Stock Is Down. Wall Street, Not an NHTSA Investigation, Is the Reason.","BofA Securities analyst John Murphy downgraded shares of electric-vehicle maker Tesla to Hold, but his new target price implies about 17% upside.",Yahoo,finnhub_news
126,89,2025,1,7,2025-01-07 21:29:59,"Bank of America downgrades Tesla stock, raises price target saying 'execution risk is high'","Tesla stock slipped on Tuesday after Bank of America said it sees shares fairly priced, with some risk to the downside.",Yahoo,finnhub_news
127,90,2025,1,7,2025-01-07 20:37:08,Uber and Lyft Adapt Robotaxi Strategy to Compete in Tesla and Waymo's Space,"Uber Technologies Inc (NYSE:UBER) and Lyft Inc (NASDAQ:LYFT) have bounced back on their robotaxi ambitions, albeit with a twist. The ride-hailing giants restructured their businesses to accommodate competitors who have cracked the code, the Wall Street Journal reports. Under their new strategy, Uber and Lyft will gain a percentage of driverless taxi bookings while taking charge of maintaining the fleet. Also Read: Trump Administration to Challenge Social Media Censorship, Setting Stage for Confl",Yahoo,finnhub_news
128,91,2025,1,7,2025-01-07 20:06:40,"3 stocks to gain under Trump 2.0: Tesla, Amazon, Palantir","Rational Equity Armor Fund portfolio manager Joe Tigay joins Seana Smith and Madison Mills on Catalysts to outline his three stock picks that could gain under Trump's second term in the White House: Tesla (TSLA), Amazon (AMZN), and Palantir (PLTR). Tigay notes that Tesla is a leader in the world of electric vehicles (EVs) and is likely to receive favorable treatment from the new presidential administration. This may be bolstered by the fact that reduced EV spending overall is anticipated under Trump 2.0, positioning Tesla to be the winner of the sector. Beyond Tesla's EVs, Tigay highlights the company's battery sector as a promising revenue stream in the future. ""I think that's going to be a big player going forward in the next four years,"" he says. , among other signs that Bezos has been fostering an amicable relationship with the president-elect. These moves note a shift from the historical feud between Bezos and Trump.Amazon is another one of Tigay's top picks, partly due to Jeff Bezos' recent financial support of Trumphttps://finance.yahoo.com... ""It seems like Amazon, this time around, is attempting to be on more favorable conditions,"" Tigay explains. ""In general, Amazon wants to have a favorable relationship with this administration because there's big money to be had, specifically in the cloud services."" He adds that Amazon may be better positioned for upcoming tariffs and expected tax reductions. Tigay's third top pick is Palantir, which he describes as ""the software innovation of the AI world."" The company had a significant run-up after the election, receives a lot of government business, and has the right products to ""put AI to work."" To watch more expert insights and analysis on the latest market action, check out more Catalysts here. This post was written by Naomi Buchanan.",Yahoo,finnhub_news
129,92,2025,1,7,2025-01-07 19:44:40,Meta ends fact-checking in shift closer to Musk's X and Trump,"In explaining the decision, Meta CEO Mark Zuckerberg nodded to a ""cultural tipping point"" after Trump's election.",Yahoo,finnhub_news
130,93,2025,1,7,2025-01-07 19:32:26,"Tesla (TSLA) Stock Slides on New Probe, Downgrade","Tesla (TSLA) stock is retreating 4% today after the federal government announced a new probe of the firm. Additionally, Bank of America downgraded the shares to Neutral from Buy today. Another Investigation of Tesla The federal government’s National Highway Traffic Safety Administration (NHTSA), which has already been conducting multiple probes of Tesla, disclosed today that […]",Yahoo,finnhub_news
131,94,2025,1,7,2025-01-07 19:21:07,'Complacency' could be the biggest risk to investors in 2025,"Allspring Global Investments senior portfolio manager Bryant VanCronkhite joins Brad Smith on Wealth to discuss his top investment outlooks and share the biggest market risks for 2025. VanCronkhite warns of investor ""complacency"" in 2025, particularly regarding the Magnificent Seven tech stocks. While acknowledging their ""tremendous"" returns, he cautions, ""That's a risk because the market is broadening out right now."" He explains, ""We don't want to pay as much of a multiple for companies that are growing slower, which is the Mag Seven, compared to the broader market, which is the Russell 2000 (^RUT) and the Russell mid-cap stocks."" VanCronkhite advises investors to be strategic. ""That doesn't mean sell it; it doesn't mean leave. Just be careful about staying too long. Rotate down,"" he tells Yahoo Finance. Regarding sector opportunities, VanCronkhite expresses caution about the banking sector, describing it as ""nerve-racking"" despite market optimism. Instead, he points to materials and healthcare as sectors with attractive valuations that could outperform in 2025. To watch more expert insights and analysis on the latest market action, check out more Wealth here. This post was written by Angel Smith",Yahoo,finnhub_news
132,95,2025,1,7,2025-01-07 19:18:11,Tesla's Self-Driving Tech Under Fire: Safety Concerns and Legal Challenges Cloud Future Potential,"Tesla's autonomy efforts show promise, but safety and regulatory hurdles remain significant obstacles for the company",Yahoo,finnhub_news
133,96,2025,1,7,2025-01-07 19:12:52,AMC Short-Selling Spikes; Are Meme Stocks A Buy Now?,"Meme stocks like AMC Entertainment and GameStop get their price spikes from strong buying interest.  Shares of AMC have been trading along the 50-day moving average for weeks now, with the stock basically going sideways since May.  It is better to bring a time-tested method for stock picking and search for buy points in proper bases.",Yahoo,finnhub_news
134,97,2025,1,7,2025-01-07 19:09:56,Outlook on the AI Sector in 2025,"-- Jon McNeill, Former Tesla President, Vistashares Co-Founder speaks to Romaine Bostick and Scarlet Fu about Vistashares launching ETF and the AI sector outlook in 2025....",Finnhub,finnhub_news
135,98,2025,1,7,2025-01-07 18:54:40,"Elon Musk has expressed interest in buying English soccer club Liverpool, his father says","Elon Musk's father says his billionaire son has expressed interest in buying English soccer club Liverpool.  The Premier League club is privately owned by Fenway Sports Group, which has not indicated it wants to sell but has accepted external investment in the past.  Errol Musk, in an interview with Times Radio, acknowledged that the Tesla CEO has shown an interest in the six-time European Cup champions.",Yahoo,finnhub_news
136,99,2025,1,7,2025-01-07 18:31:42,Tesla Faces Probe Over Crash Allegations in Vehicles With Driverless Feature,"Tesla (TSLA) faces an investigation involving about 2.59 million vehicles with ""Actually Smart Summo",Yahoo,finnhub_news
137,100,2025,1,7,2025-01-07 17:33:00,"These Stocks Moved the Most Today: Nvidia, Micron, Aurora Innovation, Tesla, Carvana, Moderna, Palantir, and More","These Stocks Moved the Most Today: Nvidia, Micron, Aurora Innovation, Tesla, Carvana, Moderna, Palantir, and More",MarketWatch,finnhub_news
138,101,2025,1,7,2025-01-07 17:32:26,"Man who exploded Tesla Cybertruck outside Trump hotel in Las Vegas used generative AI, police say","LAS VEGAS — The highly decorated soldier who exploded a Tesla Cybertruck outside the Trump hotel in Las Vegas used generative AI including ChatGPT to plan the attack, Las Vegas police said...",Finnhub,finnhub_news
139,102,2025,1,7,2025-01-07 17:31:00,"Tesla Inc. stock falls Tuesday, underperforms market","Tesla Inc. stock falls Tuesday, underperforms market",MarketWatch,finnhub_news
140,103,2025,1,7,2025-01-07 16:37:00,U.S. Adds Tencent and Tesla Supplier to Its Chinese Military List. Why ‘Pandora’s Box’ Has Opened for Chinese Stocks.,U.S. Adds Tencent and Tesla Supplier to Its Chinese Military List. Why ‘Pandora’s Box’ Has Opened for Chinese Stocks.,MarketWatch,finnhub_news
141,104,2025,1,7,2025-01-07 16:00:00,Wall Street Lunch: Aurora Partners With Continental And Nvidia,Aurora (AUR) is jumping after announcing a long-term strategic partnership with auto supplier Continental (CTTAF) and Nvidia.,SeekingAlpha,finnhub_news
142,105,2025,1,7,2025-01-07 14:37:45,US opens probe into 2.6 million Teslas over remote driving,"STORY: The U.S. has opened an investigation into 2.6 million Tesla vehicles over reports of crashes involving a remote driving feature called Actually Smart Summon. The feature, which...",Finnhub,finnhub_news
143,106,2025,1,7,2025-01-07 13:52:22,Big Tech ETF drops sharply in stock-market selloff as Treasury yields rise,Big Tech ETF drops sharply in stock-market selloff as Treasury yields rise,MarketWatch,finnhub_news
144,107,2025,1,7,2025-01-07 13:41:06,"US opens another Tesla probe, latest focused on tech that remotely returns car to driver",NEW YORK — U.S. regulators have opening an investigation into 2.6 million Tesla after reports of crashes involving the use of company technology that allows drivers to remotely command their...,Finnhub,finnhub_news
145,108,2025,1,7,2025-01-07 13:32:39,Are ‘Magnificent Seven’ bonds now worth buying after months-long selloff?,Are ‘Magnificent Seven’ bonds now worth buying after months-long selloff?,MarketWatch,finnhub_news
146,109,2025,1,7,2025-01-07 13:05:05,"Elon Musk helped Trump win. Now he's looking at Europe, and many politicians are alarmed","LONDON — Fresh from pouring his money and energies into helping Donald Trump win re-election, Elon Musk has trained his sights on Europe, setting off alarm bells among politicians across the...",Finnhub,finnhub_news
147,110,2025,1,7,2025-01-07 13:00:34,On The Hunt For Magnificent Earnings Growth? Check These 7 Stocks.,On The Hunt For Magnificent Earnings Growth? Check These 7 Stocks.,DowJones,finnhub_news
148,111,2025,1,7,2025-01-07 12:54:39,EV Company News For The Month Of December 2024,"Our December 2024 edition of the roundup of Electric Vehicle [EV] company news, including Tesla, BYD, and Geely. Read on at Seeking Alpha.",SeekingAlpha,finnhub_news
149,112,2025,1,7,2025-01-07 12:30:00,Vertiv: Nvidia Isn't The Only AI Game Changer (Upgrade),"Vertivâs solutions are vital for AI clusters and data centers. See why VRT stock offers growth potential at a reasonable PEG ratio, like Nvidia.",SeekingAlpha,finnhub_news
150,113,2025,1,7,2025-01-07 12:11:00,"Tesla faces more risk than its stock reflects, prompting a downgrade","Tesla faces more risk than its stock reflects, prompting a downgrade",MarketWatch,finnhub_news
151,114,2025,1,7,2025-01-07 11:48:20,Tesla: share price falls after BofA downgrade,"On Tuesday, Tesla posted one of the steepest declines on the Nasdaq 100 index, as Bank of America lowered its recommendation on the stock from buy to neutral.About an hour after opening, the electric...",Finnhub,finnhub_news
152,80,2025,1,7,2025-01-07 11:30:00,These EV ‘Battery Belt’ Towns Are Betting Trump Won’t Ditch Them,"Ford, Hyundai and other carmakers are cranking up new EV battery factories, while uncertainty looms over Biden-era subsidies for them.",Yahoo,finnhub_news
153,115,2025,1,7,2025-01-07 11:20:00,ClearBridge Large Cap Growth Strategy Q4 2024 Commentary,"In a period of momentum-driven returns and bullish investor sentiment sparked by the re-election of Donald Trump, the more defensively positioned Strategy underperformed.",SeekingAlpha,finnhub_news
154,116,2025,1,7,2025-01-07 11:02:28,Dow Jones Rises After Jobs Data; Nvidia Reverses From Record Highs,Dow Jones Rises After Jobs Data; Nvidia Reverses From Record Highs,DowJones,finnhub_news
155,117,2025,1,7,2025-01-07 11:00:00,Avalanche leads way as most big cryptocurrencies post drops,Avalanche leads way as most big cryptocurrencies post drops,MarketWatch,finnhub_news
156,118,2025,1,7,2025-01-07 10:30:00,"2025 Analyst Outlook: Chris Lau On Tariffs, Global Worries, EVs, And An AI Bubble",Tariffs could top macroeconomic concerns to start 2025. Read what sectors could surface as potential winners in the year ahead.,SeekingAlpha,finnhub_news
157,119,2025,1,7,2025-01-07 10:14:00,Cathie Wood’s ARK Innovation ETF Couldn’t Keep Up in 2024. What Did—and Didn’t—Work.,Cathie Wood’s ARK Innovation ETF Couldn’t Keep Up in 2024. What Did—and Didn’t—Work.,MarketWatch,finnhub_news
158,120,2025,1,7,2025-01-07 10:12:00,Elon Musk Isn’t the First. The Long History of Presidents Employing Business Leaders.,Elon Musk Isn’t the First. The Long History of Presidents Employing Business Leaders.,MarketWatch,finnhub_news
159,121,2025,1,7,2025-01-07 09:52:55,Tesla seeks Sweden court order in protracted labour union conflict,"Tesla has asked a court in Sweden to ensure that the country's Transport Agency provides access to licence plates that are currently blocked by postal workers in a wider labour conflict, a court...",Finnhub,finnhub_news
160,122,2025,1,7,2025-01-07 09:30:00,Rivian: Don't Let The Short-Lived Hype Fool You,"A stunning 25% one-day surge helped Rivian recover substantial losses over the past one year, placating the RIVN bagholders. Explore more details here.",SeekingAlpha,finnhub_news
161,123,2025,1,7,2025-01-07 09:25:00,"The More It Drops, The More I Buy","The stock market just suffered a dip, and I am buying it. Find out the 3 purchases we recently made to take advantage of the dip.",SeekingAlpha,finnhub_news
162,124,2025,1,7,2025-01-07 08:31:00,Tesla: Irrelevance Of Valuation Ratios And The Future Of Robotaxis And Humanoids,"Tesla's risks include a selloff following FY24 earnings, especially if 2025 EV sales guidance is lowered. See why I rate TSLA stock a strong buy.",SeekingAlpha,finnhub_news
163,125,2025,1,7,2025-01-07 07:55:10,"Stellantis, Toyota, Ford, Mazda, Subaru plan to pool CO2 emissions with Tesla","Stellantis, Toyota, Ford, Mazda and Subaru are planning to pool carbon emissions with U.S. EV maker Tesla to comply with European Union 2025 rules, an EU filing showed on Tuesday. If not...",Finnhub,finnhub_news
164,126,2025,1,7,2025-01-07 07:05:36,US self-driving car companies seek boost under Trump,A group representing self-driving car companies on Tuesday called on the U.S. government to do more to speed the deployment of autonomous vehicles and remove barriers to adoption. The...,Finnhub,finnhub_news
165,127,2025,1,7,2025-01-07 06:26:41,US traffic safety regulator opens probe into about 2.6 million Tesla vehicles,"The U.S. National Highway Traffic Safety Administration said on Tuesday it has opened a probe into about 2.6 million Tesla vehicles over issues related to the EV maker's feature dubbed, Actually Smart...",Finnhub,finnhub_news
166,128,2025,1,7,2025-01-07 05:42:57,Top 3 takeaways from Nvidia's CES 2025 keynote,Nvidia announced a host of new software and hardware technologies at CES 2025. Here are the three most important debuts.,Yahoo,finnhub_news
167,129,2025,1,7,2025-01-07 05:16:54,Tesla supplier Panasonic Energy: cutting China supply 'No.1 objective' for U.S,"LAS VEGAS (Reuters) -Tesla supplier Panasonic Energy plans to eliminate its supply-chain dependence on China for electric vehicle batteries made in the United States, a senior executive told Reuters, calling the shift a ""No.1 objective"".  The comments from Allan Swan, President of Panasonic Energy of North America, highlight how incoming President Donald Trump's pledge to raise tariff imports on Chinese goods has forced companies around the world to reassess their manufacturing processes.",Yahoo,finnhub_news
168,130,2025,1,7,2025-01-07 03:00:00,Can Boeing Be Fixed? Aerospace Leaders Offer a Repair Manual,"Restore trust, revamp the design process and forget the stock price: Experts from inside and outside the company share advice for the troubled jet maker.",Yahoo,finnhub_news
169,0,2025,1,7,2025-01-07 00:00:00,[Removed],[Removed],[Removed],api_news_org
170,99,2025,1,7,2025-01-07 00:00:00,Tesla is being investigated by the feds over its A.S.S. technology,"The National Highway Transportation Safety Administration (NHTSA) has opened a new investigation into Elon Musk’s Tesla (TSLA), this time over its Actually Smart Summon (A.S.S.)Read more...",Quartz India,api_news_org
171,87,2025,1,7,2025-01-07 00:00:00,"BYD a cartonné sur la voiture électrique en 2024, et est à deux doigts de dépasser Tesla","Avec 1 764 992 voitures électriques vendues dans le monde en 2024, BYD a fait largement mieux qu'en 2023. Porté par son marché intérieur, le constructeur chinois n'est désormais qu'à quelques milliers d'exemplaires de dépasser Tesla.",Frandroid,api_news_org
172,33,2025,1,7,2025-01-07 00:00:00,This Slim Little Battery I Saw at CES 2025 Is Like a Tesla Powerwall for Your Fridge,"You don't need an electrician to install BioLite's backup battery system, which can keep at least a few of your appliances on when the power goes out -- like your refrigerator.",CNET,api_news_org
173,15,2025,1,7,2025-01-07 00:00:00,"Automakers to pool CO2 emissions with Tesla, Polestar to meet EU 2025 rules",,Yahoo Entertainment,api_news_org
174,58,2025,1,7,2025-01-07 00:00:00,Elon Musk: Wie lange geht das für Tesla noch gut?,Elon Musk konzentriert sich derzeit auf die Politik. Bei Tesla setzt er allein auf Zukunftsversprechen. Nun mehren sich die Anzeichen einer Krise.,Die Zeit,api_news_org
175,47,2025,1,7,2025-01-07 00:00:00,Tesla Full Self Driving Computer Failures Are Bricking Cars And Disabling Features,"The computer that enables Tesla to claim that its vehicles have “full-self driving” capability is having some pretty serious issues right now. The computers are failing, and it’s nearly bricking some owner’s Tesla’s. Read more...",Jalopnik,api_news_org
176,39,2025,1,7,2025-01-07 00:00:00,Les batteries des premiers Cybertruck discrètement remplacées par Tesla ?,"Contactés par Tesla pour des ""problèmes mineurs"" à régler sur leur Cybertruck, certains propriétaires ont finalement vu la batterie de leur pick-up être remplacée par le constructeur.",Presse-citron,api_news_org
177,131,2025,1,6,2025-01-06 23:49:29,Dow Jones Futures: Nvidia Surges Above Buy Point; Jensen Huang CES Speech In Focus,Dow Jones Futures: Nvidia Surges Above Buy Point; Jensen Huang CES Speech In Focus,DowJones,finnhub_news
178,132,2025,1,6,2025-01-06 23:45:21,Tesla (TSLA) Ascends But Remains Behind Market: Some Facts to Note,"In the closing of the recent trading day, Tesla (TSLA) stood at $411.05, denoting a +0.15% change from the preceding trading day.",Yahoo,finnhub_news
179,133,2025,1,6,2025-01-06 23:44:46,Tesla Stock Price Levels to Watch After Volatile Stretch,Tesla shares have gained ground the past two sessions after a five-day losing streak during which the stock lost 18% of its value. Monitor these important chart levels.,Yahoo,finnhub_news
180,134,2025,1,6,2025-01-06 22:02:53,Tesla's stock valuation appears 'discounted': Analyst explains,"President-elect Donald Trump's proposed tariff policy has raised investor concerns about its potential impact on industries, including electric vehicles (EVs), particularly for companies like Tesla (TSLA). Stifel NextGen transport analyst Stephen Gengaro joins Market Domination to share his perspective on the EV maker amid tariff uncertainties. Gengaro suggests that Trump's proposed tariff policy would have ""wide-ranging"" effects, including reduced competition in US markets — a development that could be ""theoretically a positive"" for Tesla. However, he cautions that the company may face challenges with its international supply chain for parts sourced outside the US. The analyst emphasizes that Tesla is ""more than a car company,"" pointing to initiatives like full self-driving (FSD) technology as ""a huge value driver"" for the stock in the ""medium-to-long term."" He suggests that the potential of these ventures makes the current stock valuation appear ""discounted."" Looking ahead to the Trump administration, Gengaro anticipates more favorable regulations that could accelerate Tesla's initiatives. ""As far as Musk betting on Trump, I think he's clearly engaged in the conversation as far as getting regulation accelerated on the FSD side,"" he explains. ""And that sort of opens the door for just various growth opportunities for the company over time."" To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Angel Smith",Yahoo,finnhub_news
181,135,2025,1,6,2025-01-06 17:39:13,"AppLovin, Nvidia, Tesla, Broadcom, and Meta Lead Nasdaq's Tech Surge in 2024","Nvidia stock rose 180% in 2024, fueled by demand for AI chips and new software offerings.",Yahoo,finnhub_news
